KEYWORD,CONTEXT,en,da,da notes,de,de notes,es,es notes,fa,fa notes,fr,fr notes,he,he notes,hu,hu notes,it,it notes,nl,nl notes,rk,redneck notes,ru,ru notes,vi,vi notes,zh-CHT,zh-CHT notes
ABOUT,In the nav bar. Opens the about modal,About,Om,,Über,,Acerca de,,درباره ما,,À propos,,,,Névjegy,,Crediti,,Over,,What Is It?,,O программе,,Giới thiệu,,關於,
ABOUT_CONTRIBUTORS,"In about menu, introduces those who worked on Scout-App.",Contributors to  <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,Bidragsydere til <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,,Unterstützer,,Los colaboradores para  <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,,,,Contributeurs de <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,,,,A <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a> fejlesztésében közreműködtek:,,Chi ha contribuito a <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,,Bijdragers van de <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,,The fellers who made this: <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,,о вкладчиков k <a href='http://github.com/scout-app/scout-app' class='external-link'>Cкаут-Aппa</a>:,,Người đóng góp cho <a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a>:,,<a href='http://github.com/scout-app/scout-app' class='external-link'>Scout-App</a> 開發協助者:,
ABOUT_DEPENDENCIES,In About modal. Scout-App uses libraries behind-the-scenes. This gives credit and links to those libraries. 'node-sass' and 'chokidar' are library names and likely shouldn't be translated. Use best judgement.,<strong>Scout-App</strong> uses <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> and <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,<strong>Scout-App</strong> benytter <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> og <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,,,,<strong>Scout-App</strong> usa <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> y <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,,,,<strong>Scout-App</strong> utilise <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> et <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,,,,A <strong>Scout-App</strong> <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> és <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span> használatával működik.,,<strong>Scout-App</strong> utilizza <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> e <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,,<strong>Scout-App</strong> gebruikt <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> en <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>,,<strong>Scout-App</strong> uses <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> and <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,,<strong>Cкаут-Aпп</strong> использует <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> и <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,,<strong>Scout-App</strong> sử dụng <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> và <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,,<strong>Scout-App</strong> 採用 <a class='external-link' href='https://github.com/sass/node-sass'>node-sass</a> <span class='nodeSassVersion'></span> 及 <a class='external-link' href='https://github.com/paulmillr/chokidar'>chokidar</a> <span class='chokidarVersion'></span>.,
ABOUT_DESCRIPTION,In About modal. A simple description of what the app is used for.,<strong>Scout-App</strong> allows you to process your <code>.sass</code> and <code>.scss</code> files into CSS without needing any knowledge of the command line.,<strong>Scout-App</strong> giver dig mulighed for at konvertere <code>.sass</code> og <code>.scss</code> filer til CSS uden kendskab til kommandolinjen.,,Mit <strong>Scout-App</strong> generierst Du deine eigenen <code>.sass</code> und <code>.scss</code>-Dateien in CSS ohne Kenntnisse von Terminal/Eingabeaufforderung.,,<strong>Scout-App</strong> le permite procesar sus ficheros <code>.sass</code> y <code>.scss</code>  en CSS sin necesitar ningún conocimiento de la linea de comandos.,,,,<strong>Scout-App</strong> vous permet de traiter vos fichiers <code>.sass</code> et <code>.scss</code> en CSS sans avoir besoin de connaissances sur la ligne de commande.,,,,"A <strong>Scout-App</strong> segít feldolgozni a <code>.sass</code> és <code>.scss</code> fájlokat, hogy parancssor ismerete nélkül is CSS stílusfájlt generálhassunk.",,<strong>Scout-App</strong> ti permette di compilare il tuoi file <code>.sass</code> e <code>.scss</code> in CSS senza conoscere e utilizzare la linea di comando.,,<strong>Scout-App</strong> laat je <code>.sass</code> en <code>.scss</code> bestanden verwerken zonder enige kennis van de command line.,Not certain on 'Command Line',This here <strong>Scout-App</strong> lets you turn your <code>.sass</code> and <code>.scss</code> files into .css files without needed no schoolin' in code or command-line nonesense.,,<strong>Cкаут-Aппa</strong> позволяет обрабатывать <code>.sass</code> и <code>.scss</code> файлы в CSS без использования командной строки,,<strong>Scout-App</strong> cho phép bạn xử lý các tệp <code>.sass</code> và <code>.scss</code> thành CSS mà không cần kiến thức về dòng lệnh.,,"無須任何命令列指令, <strong>Scout-App</strong> 幫你自動轉換 <code>.sass</code> 和 <code>.scss</code> 代碼至 CSS",
ABOUT_SCOUTAPP,In About modal. There is a section for Scout-App and a section for UGUI. This is the title for the Scout-App section.,About Scout-App,Om Scout-App,,,,Acerca de Scout-App,,درباره نرم افزار,,Apropos de Scout-App,,אודות Scout-App,,Scout-App névjegye,,Informazioni su Scout-App,,Over Scout-App,,About Scout-App,,O Cкаут-Aппa,,Về Scout-App,,關於 Scout-App,
ABOUT_VISIT_UPDATE,Text that is followed by a link to the scout-app website.,Visit the Scout-App website to check for updates:,Besøg Scout-App websitet for at tjekke for opdateringer:,,,,Visitar el sitio web de Scout-App para comprobar las actualizaciones:,,بازدید از وب سایت پیشآهنگی برنامه برای به روز رسانی:,Google Translated,Visitez le site Web de Scout-App pour vérifier les mises à jour:,,,,Az aktuális frissítésekért látogasson el a Scout-App honlapjára:,,Visita il sito di Scout-App per verificare gli aggiornamenti:,,Bezoek de Scout-App website voor updates,,Look here for updates:,,"Посетите сайт Cкаут-Aппa, чтобы проверить для обновления:",,Truy cập vào trang web của Scout-App để kiểm tra các bản cập nhật:,,到 Scout-App 網站看看有沒有更新:,
ADD_A_PROJECT,"When you first start Scout-App or have 0 projects imported, we show this button on the screen.",Add a Project,Tilføj et Projekt,Google Translated,Neues Projekt,,Añadir un Proyecto,,,,Ajouter un projet,,,,Projekt hozzáadása,,Aggiungere un Progetto,Google Translated,Voeg een Project,Google Translated,Let's Make A Project!,,Добавить проект,,Thêm một dự án,,新增專案,
ADD_GROUP_OF_PROJECTS,"When you first start Scout-App or have 0 projects imported, we show this button on the screen.",Add Group of Projects,Tilføj Gruppe af projekter,Google Translated,Neue Gruppe,,Añadir un grupo de Proyectos,,,,Ajouter un groupe de projets,,,,Projektcsoport hozzáadása,,Aggiungere Gruppo di Progetti,Google Translated,Groep toevoegen van projecten,Google Translated,Truckload of Projects,,Добавить группы проектов,,Thêm nhóm các dự án,,新增多個專案,
ADD_PROJECT,In the sidebar. Allows the user to select a project folder on their computer. Then it adds the project to Scout-App.,Add Project,Tilføj projekt,,Projekt hinzufügen,,Añadir Proyecto,,افزودن پروژه,,Ajouter un projet,,,,Projekt hozzáadása,,Aggiungi progetto,,Project Toevoegen,,Let's Make A Project!,,добав проект,,Thêm dự án,,新增專案,
ALERT_TITLE,"When processing Sass to CSS, if there is an error in the user's Sass code, we display an alert with this as the title. 'Line' is what line of the file had the error. 'Col' is short for Column and is how many characters from the start of a line to find the error.",<strong>{{time}}</strong> Error (0x0{{code}}) - Line: <strong>{{bugLine}}</strong> Col: <strong>{{col}}</strong>,<strong>{{time}}</strong> Fejl (0x0{{code}}) - Linje: <strong>{{bugLine}}</strong> Kolonne: <strong>{{col}}</strong>,,,,<strong>{{time}}</strong> Error (0x0{{code}}) - Line: <strong>{{bugLine}}</strong> Col: <strong>{{col}}</strong>,,عنوان خطا,,<strong>{{time}}</strong> Erreur (0x0{{code}}) - Ligne: <strong>{{bugLine}}</ strong> Colonne: <strong>{{col}}</ strong >,,,,"<strong>{{time}}</strong> Hiba (0x0{{code}}) - Sor: <strong>{{bugLine}}</strong>, oszlop: <strong>{{col}}</strong>",,<strong>{{time}}</strong> Errore (0x0{{code}}) - Linea: <strong>{{bugLine}}</strong> Col: <strong>{{col}}</strong>,,<strong>{{time}}</strong> Fout (0x0{{code}}) - Lijn: <strong>{{bugLine}}</strong> Kol: <strong>{{col}}</strong>,,<strong>{{time}}</strong> Oh Shit! Error (0x0{{code}}) - Line: <strong>{{bugLine}}</strong> Col: <strong>{{col}}</strong>,,<Strong>{{time}}</strong> Ошибка (0x0 {{code}}) - линии: <strong>{{bugLine}}</strong> Кол: <strong>{{col}}</strong>,,<strong>{{time}}</strong> Lỗi (0x0{{code}}) - Dòng: <strong>{{bugLine}}</strong> Cột: <strong>{{col}}</strong>,,"<strong>{{time}}</strong> 錯誤 (0x0{{code}}) - 第 <strong>{{bugLine}}</strong> 行, 字元數: <strong>{{col}}</strong>",
